policy,seed,total_served,total_reneged,avg_wait_time,throughput,renege_rate,served_general,reneged_general,renege_rate_general,served_fan,reneged_fan,renege_rate_fan,served_vip,reneged_vip,renege_rate_vip,served_coachella_stage,reneged_coachella_stage,avg_wait_coachella_stage,served_sahara,reneged_sahara,avg_wait_sahara,served_outdoor_theatre,reneged_outdoor_theatre,avg_wait_outdoor_theatre,served_mojave,reneged_mojave,avg_wait_mojave,served_gobi,reneged_gobi,avg_wait_gobi,served_sonora,reneged_sonora,avg_wait_sonora,served_do_lab,reneged_do_lab,avg_wait_do_lab,served_yuma,reneged_yuma,avg_wait_yuma
Informative App,120,5249,0,0.0053,656.125,0.0,3348,0,0.0,895,0,0.0,490,0,0.0,2135,0,0.01,1010,0,0.0,546,0,0.0,517,0,0.0,325,0,0.0,248,0,0.0,283,0,0.0,185,0,0.0
Informative App,121,5502,2,0.1482,687.75,0.0004,3504,2,0.0005704506560182544,959,0,0.0,518,0,0.0,2267,2,0.36,984,0,0.0,667,0,0.0,504,0,0.0,336,0,0.0,275,0,0.0,289,0,0.0,180,0,0.0
Informative App,122,5593,1,0.1345,699.125,0.0002,3555,1,0.00028121484814398203,979,0,0.0,537,0,0.0,2303,1,0.33,1059,0,0.0,644,0,0.0,493,0,0.0,332,0,0.0,267,0,0.0,283,0,0.0,212,0,0.0
Informative App,123,5339,0,0.001,667.375,0.0,3405,0,0.0,924,0,0.0,492,0,0.0,2165,0,0.0,974,0,0.0,584,0,0.0,543,0,0.0,321,0,0.0,263,0,0.0,266,0,0.0,223,0,0.0
Informative App,124,5402,3,0.1738,675.25,0.0006,3503,1,0.00028538812785388126,916,0,0.0,486,2,0.004098360655737705,2273,3,0.41,980,0,0.0,607,0,0.0,487,0,0.0,331,0,0.0,260,0,0.0,275,0,0.0,189,0,0.0
Informative App,125,5502,2,0.0802,687.75,0.0004,3599,1,0.0002777777777777778,924,0,0.0,461,1,0.0021645021645021645,2303,2,0.19,1021,0,0.0,616,0,0.0,501,0,0.0,322,0,0.0,249,0,0.0,287,0,0.0,203,0,0.0
Informative App,126,5607,0,0.1346,700.875,0.0,3625,0,0.0,969,0,0.0,487,0,0.0,2358,0,0.32,996,0,0.0,628,0,0.0,504,0,0.0,336,0,0.0,289,0,0.0,283,0,0.0,213,0,0.0
Informative App,127,5361,0,0.0497,670.125,0.0,3486,0,0.0,900,0,0.0,454,0,0.0,2273,0,0.12,954,0,0.0,604,0,0.0,499,0,0.0,339,0,0.0,239,0,0.0,268,0,0.0,185,0,0.0
Informative App,128,5343,0,0.0125,667.875,0.0,3380,0,0.0,914,0,0.0,520,0,0.0,2221,0,0.03,1015,0,0.0,552,0,0.0,472,0,0.0,359,0,0.0,249,0,0.0,281,0,0.0,194,0,0.0
Informative App,129,5466,0,0.0603,683.25,0.0,3496,0,0.0,918,0,0.0,529,0,0.0,2275,0,0.14,1017,0,0.0,623,0,0.0,502,0,0.0,328,0,0.0,265,0,0.0,268,0,0.0,188,0,0.0
Active Management,100,5176,3,0.1313,647.0,0.0006,3338,1,0.0002994908655286014,869,1,0.0011494252873563218,481,1,0.002074688796680498,2136,3,0.32,954,0,0.0,528,0,0.0,511,0,0.0,334,0,0.0,249,0,0.0,271,0,0.0,193,0,0.0
Active Management,101,5366,0,0.0265,670.75,0.0,3443,0,0.0,918,0,0.0,480,0,0.0,2207,0,0.06,1013,0,0.0,558,0,0.0,506,0,0.0,336,0,0.0,271,0,0.0,266,0,0.0,209,0,0.0
Active Management,102,5254,0,0.0069,656.75,0.0,3392,0,0.0,874,0,0.0,469,0,0.0,2145,0,0.02,1030,0,0.0,579,0,0.0,483,0,0.0,330,0,0.0,238,0,0.0,240,0,0.0,209,0,0.0
Active Management,103,5331,0,0.0008,666.375,0.0,3454,0,0.0,886,0,0.0,479,0,0.0,2178,0,0.0,1035,0,0.0,583,0,0.0,476,0,0.0,332,0,0.0,243,0,0.0,264,0,0.0,220,0,0.0
Active Management,104,5147,0,0.0,643.375,0.0,3321,0,0.0,854,0,0.0,488,0,0.0,2121,0,0.0,949,0,0.0,563,0,0.0,450,0,0.0,339,0,0.0,250,0,0.0,271,0,0.0,204,0,0.0
Active Management,105,5341,0,0.0268,667.625,0.0,3436,0,0.0,900,0,0.0,483,0,0.0,2204,0,0.06,992,0,0.0,565,0,0.0,502,0,0.0,341,0,0.0,256,0,0.0,282,0,0.0,199,0,0.0
Active Management,106,5368,1,0.043,671.0,0.0002,3488,1,0.00028661507595299513,899,0,0.0,464,0,0.0,2256,1,0.1,1004,0,0.0,575,0,0.0,449,0,0.0,344,0,0.0,263,0,0.0,264,0,0.0,213,0,0.0
Active Management,107,5684,0,0.062,710.5,0.0,3629,0,0.0,964,0,0.0,566,0,0.0,2424,0,0.15,996,0,0.0,616,0,0.0,514,0,0.0,352,0,0.0,290,0,0.0,291,0,0.0,201,0,0.0
Active Management,108,5496,1,0.0889,687.0,0.0002,3503,1,0.00028538812785388126,969,0,0.0,506,0,0.0,2338,1,0.21,983,0,0.0,605,0,0.0,474,0,0.0,337,0,0.0,282,0,0.0,268,0,0.0,209,0,0.0
Active Management,109,5374,1,0.0845,671.75,0.0002,3416,1,0.000292654375182909,937,0,0.0,494,0,0.0,2235,1,0.2,978,0,0.0,605,0,0.0,477,0,0.0,356,0,0.0,246,0,0.0,275,0,0.0,202,0,0.0
Active Management,110,5097,0,0.0,637.125,0.0,3299,0,0.0,853,0,0.0,459,0,0.0,2117,0,0.0,928,0,0.0,555,0,0.0,478,0,0.0,313,0,0.0,255,0,0.0,257,0,0.0,194,0,0.0
Active Management,111,5362,1,0.0238,670.25,0.0002,3501,1,0.00028555111364934324,879,0,0.0,462,0,0.0,2228,1,0.06,975,0,0.0,588,0,0.0,491,0,0.0,321,0,0.0,277,0,0.0,282,0,0.0,200,0,0.0
Active Management,112,5224,0,0.0078,653.0,0.0,3343,0,0.0,882,0,0.0,479,0,0.0,2115,0,0.02,1008,0,0.0,541,0,0.0,492,0,0.0,378,0,0.0,251,0,0.0,261,0,0.0,178,0,0.0
Active Management,113,5532,1,0.1157,691.5,0.0002,3566,1,0.0002803476310625175,933,0,0.0,513,0,0.0,2253,1,0.28,1043,0,0.0,623,0,0.0,531,0,0.0,356,0,0.0,251,0,0.0,271,0,0.0,204,0,0.0
Active Management,114,5259,0,0.0073,657.375,0.0,3407,0,0.0,856,0,0.0,476,0,0.0,2143,0,0.02,997,0,0.0,569,0,0.0,489,0,0.0,347,0,0.0,241,0,0.0,282,0,0.0,191,0,0.0
Active Management,115,5705,1,0.1859,713.125,0.0002,3630,1,0.0002754062241806665,1027,0,0.0,525,0,0.0,2331,1,0.45,1045,0,0.0,653,0,0.0,528,0,0.0,369,0,0.0,290,0,0.0,280,0,0.0,209,0,0.0
Active Management,116,5441,0,0.0289,680.125,0.0,3525,0,0.0,877,0,0.0,523,0,0.0,2241,0,0.07,1061,0,0.0,588,0,0.0,493,0,0.0,327,0,0.0,254,0,0.0,276,0,0.0,201,0,0.0
Active Management,117,5330,0,0.0479,666.25,0.0,3418,0,0.0,897,0,0.0,497,0,0.0,2246,0,0.11,975,0,0.0,607,0,0.0,489,0,0.0,349,0,0.0,241,0,0.0,263,0,0.0,160,0,0.0
Active Management,118,5624,1,0.1321,703.0,0.0002,3573,1,0.0002797985450475658,990,0,0.0,537,0,0.0,2295,1,0.32,1009,0,0.0,704,0,0.0,511,0,0.0,317,0,0.0,300,0,0.02,274,0,0.0,214,0,0.0
Active Management,119,5663,0,0.177,707.875,0.0,3666,0,0.0,962,0,0.0,517,0,0.0,2335,0,0.43,1047,0,0.0,637,0,0.0,535,0,0.0,349,0,0.0,283,0,0.0,282,0,0.0,195,0,0.0
Active Management,120,5249,0,0.0053,656.125,0.0,3348,0,0.0,895,0,0.0,490,0,0.0,2135,0,0.01,1010,0,0.0,546,0,0.0,517,0,0.0,325,0,0.0,248,0,0.0,283,0,0.0,185,0,0.0
Active Management,121,5501,1,0.1878,687.625,0.0002,3504,1,0.0002853067047075606,959,0,0.0,516,0,0.0,2266,1,0.46,984,0,0.0,667,0,0.0,504,0,0.0,336,0,0.0,275,0,0.0,289,0,0.0,180,0,0.0
Active Management,122,5593,1,0.1259,699.125,0.0002,3556,1,0.000281135788585887,979,0,0.0,536,0,0.0,2303,1,0.31,1059,0,0.0,644,0,0.0,493,0,0.0,332,0,0.0,267,0,0.0,283,0,0.0,212,0,0.0
Active Management,123,5339,0,0.001,667.375,0.0,3405,0,0.0,924,0,0.0,492,0,0.0,2165,0,0.0,974,0,0.0,584,0,0.0,543,0,0.0,321,0,0.0,263,0,0.0,266,0,0.0,223,0,0.0
Active Management,124,5423,2,0.1861,677.875,0.0004,3501,1,0.00028555111364934324,915,0,0.0,487,1,0.0020491803278688526,2294,2,0.44,980,0,0.0,607,0,0.0,487,0,0.0,331,0,0.0,260,0,0.0,275,0,0.0,189,0,0.0
Active Management,125,5503,1,0.0657,687.875,0.0002,3599,1,0.0002777777777777778,924,0,0.0,461,0,0.0,2304,1,0.16,1021,0,0.0,616,0,0.0,501,0,0.0,322,0,0.0,249,0,0.0,287,0,0.0,203,0,0.0
Active Management,126,5607,0,0.1346,700.875,0.0,3625,0,0.0,969,0,0.0,487,0,0.0,2358,0,0.32,996,0,0.0,628,0,0.0,504,0,0.0,336,0,0.0,289,0,0.0,283,0,0.0,213,0,0.0
Active Management,127,5361,0,0.0497,670.125,0.0,3486,0,0.0,900,0,0.0,454,0,0.0,2273,0,0.12,954,0,0.0,604,0,0.0,499,0,0.0,339,0,0.0,239,0,0.0,268,0,0.0,185,0,0.0
Active Management,128,5343,0,0.0125,667.875,0.0,3380,0,0.0,914,0,0.0,520,0,0.0,2221,0,0.03,1015,0,0.0,552,0,0.0,472,0,0.0,359,0,0.0,249,0,0.0,281,0,0.0,194,0,0.0
Active Management,129,5466,0,0.0603,683.25,0.0,3496,0,0.0,918,0,0.0,529,0,0.0,2275,0,0.14,1017,0,0.0,623,0,0.0,502,0,0.0,328,0,0.0,265,0,0.0,268,0,0.0,188,0,0.0
VIP Priority,100,5186,3,0.1309,648.25,0.0006,3337,3,0.0008982035928143712,869,0,0.0,482,0,0.0,2146,3,0.32,954,0,0.0,528,0,0.0,511,0,0.0,334,0,0.0,249,0,0.0,271,0,0.0,193,0,0.0
VIP Priority,101,5366,0,0.0265,670.75,0.0,3441,0,0.0,918,0,0.0,482,0,0.0,2207,0,0.06,1013,0,0.0,558,0,0.0,506,0,0.0,336,0,0.0,271,0,0.0,266,0,0.0,209,0,0.0
VIP Priority,102,5254,0,0.0069,656.75,0.0,3392,0,0.0,874,0,0.0,469,0,0.0,2145,0,0.02,1030,0,0.0,579,0,0.0,483,0,0.0,330,0,0.0,238,0,0.0,240,0,0.0,209,0,0.0
VIP Priority,103,5331,0,0.0008,666.375,0.0,3454,0,0.0,886,0,0.0,479,0,0.0,2178,0,0.0,1035,0,0.0,583,0,0.0,476,0,0.0,332,0,0.0,243,0,0.0,264,0,0.0,220,0,0.0
VIP Priority,104,5147,0,0.0,643.375,0.0,3321,0,0.0,854,0,0.0,488,0,0.0,2121,0,0.0,949,0,0.0,563,0,0.0,450,0,0.0,339,0,0.0,250,0,0.0,271,0,0.0,204,0,0.0
VIP Priority,105,5342,0,0.0251,667.75,0.0,3436,0,0.0,900,0,0.0,484,0,0.0,2205,0,0.06,992,0,0.0,565,0,0.0,502,0,0.0,341,0,0.0,256,0,0.0,282,0,0.0,199,0,0.0
